date,text
2017-06-13,"Systems and methods for using a block chain to certify the existence, integrity, and/or ownership of a file or communication. A block chain may be used to certify the existence, integrity, and/or ownership of a file or communication. The present disclosure describes receiving a plurality of data units; hashing the plurality of data units to provide a plurality of hashes, individual hashes being unique cryptographic identifiers of corresponding data units such that an individual hash verifiably relates to a corresponding data unit and the individual hashes cannot be used by themselves to obtain corresponding data units; temporarily storing the hashes; generating a first cryptographic structure based on the plurality of hashes; publishing the first cryptographic structure on the block chain; providing proofs associated with individual ones of the plurality of data units that allow independent verification that the data units are certified; and verifying certification of data units based on roots of reconstructed cryptographic structures."
2017-07-11,Extending DNSSEC trust chains to objects outside the DNS. The present invention generally relates to systems and methods for extending a chain of trust beyond the DNS. Some embodiments provide a verifier with the ability to validate a chain of trust starting with the trust anchor at the DNS root all the way to a service or object of interest outside the DNS.
2017-07-11,Extending DNSSEC trust chains to objects outside the DNS. The present invention generally relates to systems and methods for extending a chain of trust beyond the DNS. Some embodiments provide a verifier with the ability to validate a chain of trust starting with the trust anchor at the DNS root all the way to a service or object of interest outside the DNS.
2017-07-11,"Decentralized reputation service for synthetic identities. A machine has a processor and a memory connected to the processor. The memory stores instructions executed by the processor to collect synthetic identity activity information characterizing computer network activity associated with a synthetic identity. A synthetic identity reputation score is computed based upon a current synthetic identity reputation score, a synthetic identity activity value and an activity provider weighting."
2017-07-11,"Connected thermostat for controlling a climate system based on a desired usage profile in comparison to other connected thermostats controlling other climate systems. Methods, devices, computer readable medium, and systems are described for sending from a thermostat device to a server device a target ecorank setting, and receiving from the server a climate system setting wherein the climate system setting is derived from a comparison of energy consumed by the climate system controlled by the thermostat device in comparison to energy consumed by a comparison group, the comparison group comprising other climate systems controlled by other thermostat devices. The comparison group is determined based on profile information comprising information describing the dwelling, dwelling size, dwelling location, occupants, and climate system technology. The climate system setting is determined based on an energy savings needed to match or better the ecorank target setting based on a comparison group and comparison time period. The energy consumed by the climate systems may be reported by an associated energy measurement device or inferred by heating and cooling hours."
2017-07-18,"Direct digital cash system and method. Methods and systems are provided for the exchange of digital cash employing protocols for various entities to separately certify the validity of the parties, values and transactions while maintaining the anonymity of the buyer or user of the digital cash. Encrypted connections are established allowing various parties to enter into transactions to buy, sell, exchange and recover digital cash using a secure method that protects the personal information and identity of the user. The parties exchange tokens for other value in a transaction of financial settlement between themselves and wherein they are the only parties with knowledge of the amount and description of the transaction and in this way mimics a traditional cash transaction."
2017-08-01,"Identity management service using a blockchain providing certifying transactions between devices. Logic on a first remote device receives a first transaction number and personal data transmitted from a second remote device. The first transaction number was received from a distributed public database in response to a transmission, from the second remote device, of a signed hash value and a first public key associated with a first private key on the second remote device. The signed hash value was created by signing a hash value with the first private key and the hash value was generated by hashing the personal data with a hashing algorithm on the second remote device. The logic uses the first transaction number to retrieve the signed hash value and the first public key from the distributed public database. The logic hashes the personal data using the hashing algorithm to create a generated hash value and verifies the signed hash value against the generated hash value."
2017-08-22,"Security implementation for resource distribution. A system for securely distributing and managing resources includes a smart device, a resource management device, and a third party system, each having communication interfaces, and memory device, and processing device. In the resource management device, the processing device is configured to: receive from a smart device a set of smart device data via the smart device communication interface; detect within the set of smart device data a subset of data associated with a failure condition of the smart device; and communicate a set of instruction information to a third party system, wherein the instruction information is usable by the third party system to initiate a targeted communication between a host entity system associated with the smart device and the custodian such that maintenance, repair, and/or replacement of the smart device can be effectuated."
2017-08-29,"Manicoding for communication verification. Verifiable, secure communications between a sender and a receiver on at least one shared communication channel is provided. A manicoded key encoder produces an argument of knowledge for a secret key to the at least one shared communication channel, and a manicoded message encoder provides an implication argument indicating that knowledge of the secret key enables access to message content of the manicoded message. The argument of knowledge is included in a key manifest for the secret key within a manicoded key, and the implication argument is included in a message manifest of a manicoded message. In this way, the sender may provide message content within the manicoded message, and the receiver may operate a decoder to access the message content. A verifier may use the manicoded key and the manicoded message to verify that the receiver has access to the message content."
2017-08-29,"Systems and methods for managing digital identities. Systems and methods for managing digital identities. In some embodiments, a method is provided, comprising acts of: using a plurality of measurements taken from a user to generate an identifier for the user, the identifier comprising a cryptographic proof of the plurality of measurements; instantiating a digital identity representation associated with the identifier for the user, the digital identity representation comprising program code that implements rules for attestation; generating an electronic signature over the digital identity representation; and publishing the digital identity representation and the electronic signature to a distributed ledger system."
2017-08-29,"System and method for issuance of electronic currency substantiated by a reserve of assets. Disclosed herein are system and methods for issuance and circulation of electronic currency, as well as a payment system based on use of the aforementioned electronic currency. In one exemplary aspect, the system includes a management module configured to: create and manage one or more wallets of electronic currency; manage information about a reserve substantiating the electronic currency, wherein the reserve comprises one or more tangible or intangible assets; and record electronic currency transactions in a settlement network, wherein the settlement network carries out transactions and stores data describing said transactions; and an issuance center configured to carry out centralized issuance of the electronic currency and its controlled release into circulation in the settlement network, wherein the amount of the issued electronic currency released into circulation in the settlement network is equal to or less than the amount of the reserve substantiating it."
2017-09-05,"Page substitution verification preparation. A system and method are disclosed for rendering published documents tamper evident. Embodiments render classes of documents tamper evident with cryptographic level security or detect tampering, where such security was previously unavailable, for example, documents printed using common printers without special paper or ink. Embodiments enable proving the date of document content without the need for expensive third party archival, including documents held, since their creation, entirely in secrecy or in untrustworthy environments, such as on easily-altered, publicly-accessible internet sites. Embodiments can extend, by many years, the useful life of currently-trusted integrity verification algorithms, such as hash functions, even when applied to binary executable files. Embodiments can efficiently identify whether multiple document versions are substantially similar, even if they are not identical, thus potentially reducing storage space requirements."
2017-09-12,Neural network applications in resource constrained environments. Systems and methods are disclosed for applying neural networks in resource-constrained environments. A system may include a sensor located in a resource-constrained environment configured to generate sensor data of the resource-constrained environment. The system may also include a first computing device not located in the resource-constrained environment configured to produce a neural network structure based on the sensor data. The system may further include a second computing device located in the resource-constrained environment configured to provide the sensor data as input to the neural network structure. The second computing device may be further configured to determine a state of the resource-constrained environment based on the input of the sensor data to the neural network structure.
2017-09-12,Managing I/O requests in file systems. A method is used in managing I/O requests in file systems. A first and second I/O requests are received. The first I/O request is directed to a first portion of a file and the second I/O request is directed to a second portion of the file. Respective first portions of the first and second I/O requests are performed concurrently. Respective second portions of the first and second I/O requests are performed concurrently. Execution of the second I/O request starts before execution of the first I/O request finishes.
2017-09-19,"System and method for managing a purchasing process associated with a social media site. Disclosed is an approach for managing a dialog between a user and a merchant as part of a purchase. The method includes receiving a posting of an item through a social networking site, wherein the social networking site receives and transmits posted items from a posting entity to receiving entities. When the posting references a product in a product database, the posting includes a payment process initiation object. Clicking on object transitions the user to a dialog application that engages in a dialog between the user and the merchant. The dialog application includes payment processing capabilities such that the user can complete the purchase via the dialog application."
2017-09-26,"Distributed key secret for rewritable blockchain. A system includes circuitry for rewriting blockchains in a non-tamper-evident or tamper-evident operation using a key secret held in portions by multiple individually untrusted parties. The blockchains may include a series of blocks secured by integrity codes that may prevent non-tamper-evident rewrites by non-trusted parties that are not in possession of the key secret or individually-untrusted parties in possession of only a portion of the key secret. In some cases, multiple individually-untrusted parties may combine their portions into the key secret. As a group, the multiple individually-untrusted parties may perform non-tamper-evident operation with respect to at least one integrity code within the blockchain."
2017-10-03,"Automotive activity monitor. Embodiments are directed to monitoring vehicle operations. If sensor information based on sensor data captured by a sensor computer installed in a vehicle is provided to a server by a client computer. An analysis engine may compare the sensor information to vehicle models associated with the vehicle. One or more reports based on the comparison may be distributed registered subscribers. A modeling engine may be employed to update the vehicle models based on the sensor information. The one or more updated vehicle models may be communicated to one or more client computers that may be associated with one or more users. The sensor information may be obtained from the sensor computer. Sensor information may include metrics associated with the operation of the vehicle. Metrics may include timestamps, road shocks, straight line driving, harshness, acceleration, deceleration, trip length, travel speeds, or the like."
2017-10-10,"Multiple-link blockchain. A system includes circuitry for rewriting blockchains in a non-tamper-evident or tamper-evident operation using a key secret held by a trusted party. The blockchains may include a series of blocks secured by multiple integrity codes that may prevent non-tamper-evident rewrites by non-trusted parties that are not in possession of the key secret. In some cases, the key may allow valid but tamper-evident rewrites of the blockchain by trusted entities. Further, in some implementations, tamper-evident rewrites may be converted to non-tamper-evident rewrites through multiple-party ratification."
2017-10-17,Systems and methods for storing and sharing transactional data using distributed computing systems. A computer system that interfaces with a blockchain is provided. The computer system receives match data for a match between a first data transaction request that is associated with a first identifier and a second data transaction request that is associated with a second identifier. A first blockchain transaction is generated based on the match data and stored to a blockchain. At least one further blockchain transaction is generates that splits the match into two different transactions--one between the first identifier and an intermediary and the second between the intermediary. These are recorded to the blockchain via the further blockchain transactions.
2017-10-17,"Capacity and automated de-install of linket mobile apps with deep links. Users establish a brand that uses their expertise with a mobile app. A linket is a label for a deep link. A deep link is at minimum 2 items. An id of an app and a network address where the app is run. A Registry maps from a linket to a deep link. A linket can have associated images, audios or videos. The Registry lets users search for linkets. A blockchain can record linkets, later used by an analysis engine to make a social network graph. For a given time slot, a linket owner can define that a maximum number of queries go to a first linket. Other queries go to another person's linket. If a deep link associated with a linket fails to respond, the Registry can be told. It can send a backup deep link to the user device. There can be automated deinstallation of apps used by linkets, when a linket changes its app. A device installs the earlier app via the linket. The device later detects that the linket now points to another app, so the earlier app is no longer used. It can de-install the earlier app or pop-up a dialog to tell the user and ask if it can de-install the app."
2017-10-31,"Mitigating blockchain attack. A computer implemented method for detecting malicious events occurring with respect to a blockchain data structure comprising: defining a transaction creation profile according to which transactions can be generated and submitted to the blockchain; submitting a transaction to the blockchain, the transaction causing the generation of a profiler data structure in the blockchain including executable code to generate profile transactions to be submitted to the blockchain according to the transaction creation profile; monitoring the blockchain to identify profile transactions; and comparing identified profile transactions with the transaction creation profile to detect a deviation from the transaction creation profile, such detection corresponding to a malicious event occurring with respect to the blockchain."
2017-10-31,"Super CMOS devices on a microelectronics system. This application is directed to a low cost IC solution that provides Super CMOS microelectronics macros. Hereinafter, SCMOS refers to Super CMOS and Schottky CMOS. SCMOS device solutions includes a niche circuit element, such as complementary low threshold Schottky barrier diode pairs (SBD) made by selected metal barrier contacts (Co, Ti, Ni or other metal atoms or compounds) to P- and N- Si beds of the CMOS transistors. A DTL like new circuit topology and designed wide contents of broad product libraries, which used the integrated SBD and transistors (BJT, CMOS, and Flash versions) as basic components. The macros are composed of diodes that are selectively attached to the diffusion bed of the transistors, configuring them to form (i) generic logic gates, (ii) functional blocks of microprocessors and microcontrollers such as but not limited to data paths, multipliers, muliplier-accumaltors, (ii) memory cells and control circuits of various types (SRAM's with single or multiple read/write port(s), binary and ternary CAM's), (iii) multiplexers, crossbar switches, switch matrices in network processors, graphics processors and other processors to implement a variety of communication protocols and algorithms of data processing engines for (iv) Analytics, (v) block-chain and encryption-based security engines (vi) Artificial Neural Networks with specific circuits to emulate or to implement a self-learning data processor similar to or derived from the neurons and synapses of human or animal brains, (vii) analog circuits and functional blocks from simple to the complicated including but not limited to power conversion, control and management either based on charge pumps or inductors, sensor signal amplifiers and conditioners, interface drivers, wireline data transceivers, oscillators and clock synthesizers with phase and/or delay locked loops, temperature monitors and controllers; all the above are built from discrete components to all grades of VLSI chips. Solar photovoltaic electricity conversion, bio-lab-on-a-chip, hyperspectral imaging (capture/sensing and processing), wireless communication with various transceiver and/or transponder circuits for ranges of frequency that extend beyond a few 100 MHz, up to multi-THz, ambient energy harvesting either mechanical vibrations or antenna-based electromagnetic are newly extended or nacent fields of the SCMOS IC applications."
2017-10-31,"Crowd-based scores for food from measurements of affective response. Some aspects of this disclosure involve computation of a preference score for a certain type of food. In some embodiments described herein, measurements of affective response of at least ten users are collected. The measurements may include various values indicative of physiological signals and/or behavioral cues of the at least ten users. Each measurement of a user is taken with a sensor coupled to the user up to four hours after the user consumed the certain type of food. A preference score is computed based on the measurements. The preference score is indicative of how much the at least ten users enjoyed consuming the certain type of food and/or how well they felt after consuming the certain type of food."
2017-11-14,"Mobile security technology. In one implementation, a computer-implemented method includes determining a location of a mobile computing device using one or more of a plurality of data sources; communicating, by the mobile computing device, with another computing device as part of a two-way video chat session over a first network connection, the communicating including transmitting the location of the mobile computing device; displaying, as part of the two-way video chat session, real-time video from the other computing device; recording video using one or more cameras that are accessible to the mobile computing device; and transmitting, over a second network connection, the video to a remote storage system for persistent storage."
2017-11-14,"Systems and methods for detecting relations between unknown merchants and merchants with a known connection to fraud. An example merchant fraud system may include an automated system for collecting contextual relationship information, plus a routine for analyzing additional data related to sanctions. The system may also include an automated analysis summary routine for creating condensed information subsets or graphlets containing information about sanction entities, some of which can be entities themselves, organized in a data retrieval system, such that an automated relationship examination system can check data from transactions and automatically identify and flag potentially suspect relationship aspects. The system may issue a fraud warning and may review a flagged transaction cluster, accepting transactions when transaction cluster items do not contain links to a known bad entity. Based on a hit with a suspect entity, the breadth of the examined co-related items may be expanded, and if that expansion results in one or more suspect connections, a transaction is rejected and sent for further review."
2017-11-14,"System and method for executing financial transactions. A system for implementing at least one cryptocurrency transaction at a point-of-sale by using a mobile terminal is provided. The system is operable to provide authentication for implementing the one or more cryptocurrency transactions, wherein the system is operable to send at least one authentication request for the at least one cryptocurrency transaction from a payment terminal to a payment service hosted via one or more virtual computing machines, wherein the payment service is operable to provide a request for a PIN code at the mobile terminal; to send the PIN code from the mobile terminal via a secure channel to open a vault in the one or more virtual machines, wherein the vault contains one or more private keys (PKI) which are useable for authenticating the at least one cryptocurrency transaction; and to confirm execution of the at least one cryptocurrency transaction to at least the payment terminal."
2017-11-21,"System for tracking and validation of an entity in a process data network. Embodiments of the invention are directed to a system, method, or computer program product for generating and using a block chain distributed network for tracking and validating a user identification morphing over time. The block chain database comprises a distributed ledger that is updated with real-time identification information including an initial identification of the user. Subsequent identifications are stored and changes or morphs in identification, such as signatures, physical attributes, or locations of the user are identified. User facts are correlated with the identifications to build a timeline for the user. Subsequently, the system generates authentication questions based off of the timeline generated. The authentication questions allow for authentication of a user into a third party system."
2017-11-21,"Browser payment request API. Disclosed is an updated browser having an API for communicating payment data between the browser and a site for processing payments of purchases and to reduce the number of user interactions needed for a purchasing process. The method includes receiving, via the user interface, an interaction by a user with an object associated with a site, the interaction indicating a user intent to make a purchase, receiving, based on the interaction and via an application programming interface, a request from the site for payment data in connection with the purchase and transmitting, to the site and via the application programming interface, the payment data, wherein the payment data confirms the purchase or can be used to process or deliver a product associated with the purchase."
2017-11-21,"Efficient clearinghouse transactions with trusted and un-trusted entities. In an aspect of the present disclosure, a method is disclosed including receiving first transaction data from a first trusted party that includes a first pending transaction between the first trusted party and a second trusted party and a second pending transaction between the first trusted party and an un-trusted party. The method further includes receiving second transaction data from the second trusted party that includes a third pending transaction between the second trusted party and the un-trusted party. The method further includes analyzing the first and second transaction data to determine whether more than one trusted party has a pending transaction with the same un-trusted party, determining that the first trusted party and the second trusted party each have a pending transaction with the un-trusted party, and modifying the first pending transaction, the second pending transaction, and the third pending transaction. The modification includes removing the third pending transaction."
2017-12-05,"System and method for securely receiving and counting votes in an election. The present invention generally relates to blockchain technology. Specifically, this invention relates to adapting blockchain technology for the storage of voting data in an electronic voting system. The system includes a distributed network of voting machines in communication with each other. Each voting machine has a barcode scanner, a network communications device and a computer system running a voting client. Votes are received through the barcode scanner or a voter interface system and stored securely on a blockchain. The tally for various candidates in the election is updated and stored as each vote is received and counted. This creates an auditable trail of votes and the tally which can be used to detect, correct, and prevent fraud and error in the vote counting process."
2017-12-19,"Server based biometric authentication. A server-side biometric authentication system is disclosed that can split data knowledge and processes, so that extensive collusion would be required in order for a fraudster to compromise the system. Biometric data provided by a user during authentication can be matched with a combination of pieces of a biometric template stored across two or more server(s), rather than on a consumer device as is typically done. More specifically, at the time of enrollment, a biometric template can be split into two or more fragments. Each of the fragments can be encrypted and stored on a template storage server. At a later point in time, during authentication, biometric data provided by a user (e.g., from a fingerprint) can be compared against a reconstructed version of the biometric template where each fragment of the template is retrieved from a matcher computer and combined together."
2017-12-26,"System, method, and program product for processing secure transactions within a cloud computing system. Particular systems, methods, and program products for web-based security systems for user authentication and processing in a distributed computing environment are disclosed. A computing sub-system may receive an electronic processing request and a first signed data packet having a first payload that was hashed and encrypted using a first private key. The first payload may comprise first processing output and a first timestamp. The sub-system may verify the first signed data packet by decrypting it using a first public key. The sub-system may execute computing operations to satisfy the electronic processing request, producing second processing output. The sub-system may configure a data packet with a second payload comprising at least the second processing output and a second timestamp. The sub-system may encrypt the second payload using a second private key producing a second signed data packet. The sub-system may transmit to a second sub-system the second signed data packet."
2017-12-26,"Blockchain-supported, node ID-augmented digital record signature method. At least one node in a distributed hash tree verification infrastructure is augmented with an identifier of an entity in a registration path. A data signature, which includes parameters for recomputation of a verifying value, and which is associated with a digital input record, will therefore also include data that identifies at least one entity in the hash tree path used for its initial registration in the infrastructure. An uppermost value of the hash tree verification infrastructure is entered as, or as part of, a transaction in a blockchain."
2017-12-26,"Systems and methods for sanction screening. In some examples, a computerized sanction screening system may include an automated system for collection of sanction information, and a routine for analyzing additional available data related to sanction information entities. The system may also include an automated analysis summary routine for creating condensed information subsets or graphlets containing relevant information about sanction entities, some of which can be entities themselves, organized in a data retrieval system, such that an automated transaction system can check data from transactions and automatically identify and flag potentially sanctioned transactions. Then upon exceeding a preset contextual limit, a potential blocking warning is issued."
2017-12-26,Smart device. An Internet of Thing (IoT) device includes a camera coupled to a processor; and a wireless transceiver coupled to the processor. Blockchain smart contracts can be used with the device to facilitate secure operation.
2018-01-02,"Architecture for access management. Disclosed are techniques that render a graphical user interface on a display device for performing transactions with a security system. The techniques include listening by a user device for a beacon from the security system, the beacon including a message and imitating by the user device the transaction with the security system in response to the message, with the message causing the user device to render a graphical user interface that has fields for entering an email address and a password to register the user device with a security server, with the graphical user interface rendering on the display a public key stored in a user digital wallet and a user digital wallet identification and sending in response to the message, a user's public key that is stored in the user's wallet and which is embedded in a code."
2018-01-02,"Digitally encoded seal for document verification. Techniques are described for generating a seal that is applicable to an object, and scanning the seal to access encoded data to be used for verifying one or more characteristics of the object. The seal may be applied to a tangible document, such as a document printed on paper. The seal may encode data that is particularly associated with the document. For example, the seal may encode a hash of at least a portion of the information (e.g., text) included in the document. In some instances, the seal may encode a digital version and/or metadata of at least a portion of the information in the document. A scan of the seal may retrieve information useable to verify the authorship, provenance, originality, and/or unaltered contents of the documents. In some instances, the seal may encode information that enables the presentation of hidden information and/or metadata associated with the document."
2018-01-09,"Digitally encoded seal for document verification. Techniques are described for generating a seal that is applicable to an object, and scanning the seal to access encoded data to be used for verifying one or more characteristics of the object. The seal may be applied to a tangible document, such as a document printed on paper. The seal may encode data that is particularly associated with the document. For example, the seal may encode a hash of at least a portion of the information (e.g., text) included in the document. In some instances, the seal may encode a digital version and/or metadata of at least a portion of the information in the document. A scan of the seal may retrieve information useable to verify the authorship, provenance, originality, and/or unaltered contents of the documents. In some instances, the seal may encode information that enables the presentation of hidden information and/or metadata associated with the document."
2018-01-16,"Distributed electronic document review in a blockchain system and computerized scoring based on textual and visual feedback. A blockchain configured system and a method for facilitating an expertise driven review and scoring of electronic documents in a crowdsourced environment. The system includes a server computer, a memory circuit and a processing circuit. The processing circuit is coupled to the memory circuit and includes or is coupled to a credentialing engine. The system further includes an expert scoring module. The system further includes a document reviewing and scoring engine coupled to the processing circuit. The document review and scoring module associates an aggregate score to the electronic document based on aggregation of the review ratings by crowdsourced experts and aggregate scores of each of the crowdsourced experts based on the set of attributes including one or more of the credentialed expertise, reputation of the expert, and the officiality."
2018-01-16,"Method and system for integration of market exchange and issuer processing for blockchain-based transactions. A method for authorization of a blockchain transaction includes: storing account profiles, each profile including an account identifier, fiat amount, and blockchain amount; receiving a transaction message, the transaction message being formatted based on transaction message standards and including a first data element that includes a specific account identifier and a second data element reserved for private use that includes a network identifier and transaction amount; identifying a specific account profile that includes the specific account identifier; identifying a risk value based on the transaction amount and at least one of: the fiat amount and blockchain amount; determining authorization of a transaction based on the identified risk value; modifying the transaction message based on the authorization determination; and transmitting the modified transaction message."
2018-01-16,"Securely authenticating a recording file from initial collection through post-production and distribution. The technology disclosed relates to data captured in streams from sensors. Streams often are edited, especially video and audio data streams. In particular, the technology disclosed facilitates identification of segments of an originally captured stream that find their way into a finally edited stream and identification of changed segments in the finally edited stream. Summary analysis on self-aligned meta-blocks of stream data is described, along with pushing at least some self-aligned meta-hashes into a blockchain network, applying an alignment and hashing procedure described in a smart contract."
2018-01-23,"Generalized entity network translation (GENT). Generalized Entity Network Translation provides new state of the art methodology for extending RKI techniques into a truly generalized framework capable of operating at exceptional levels of authenticity without the need for roots, certificate authorities, or other static points in an infrastructure. More astounding is its ability to create trusted authentic entity relationships that require no externally stored state outside of the shared context between discrete peers. The present invention provides, among other things, novel improvements to blockchain-derived systems and provides strong proof of ownership, renewal, roll-backs, and localized state and many blockchain systems more palatable choices for system integration."
2018-01-23,"User identification management system and method. Systems and methods for managing the identity of a user, for managing the identity of the user in a public storage facility, and for certifying pending transactions for a user are disclosed. One example method includes receiving, at an input device, personal data that identifies the user. The personal data is represented as input data. The input device is configured to process a hashing function to provide a hash value and user accessible interface for transmitting the hash value and a public key of the user to the public storage facility, e.g., block chain, and for receiving back from the public storage facility a transaction number corresponding to the hash value and the public key. In one example, the input device is configured to encrypt the hash value, a time stamp and the transaction number with a public key of a certification entity to provide user certifiable data to the certification entity. The certification entity is configured to access the public storage facility to verify the user. Also provided are systems and methods for certifying pending financial transactions, pending debit and/or credit card transactions, and other pending transactions are also disclosed. Systems and methods signing and certifying documents are also disclosed."
2018-01-23,"Drone used for authentication and authorization for restricted access via an electronic lock. In an electronic lock authentication method using a drone, authentication information input by a person is received at an electronic lock, a first level verification of the authentication information is performed at the electronic lock, and a drone request signal is transmitted from the electronic lock to the drone. The drone request signal instructs the drone to proceed to the electronic lock and perform a second level verification of the person when the first level verification has passed. Further in the method, the second level verification of the person is performed with the drone, a grant access signal is transmitted from the drone to the electronic lock, the grant access signal instructs the electronic lock to unlock when the second level verification has passed, and the electronic lock is unlocked in response to the grant access signal."
2018-01-23,"Consensus system for tracking peer-to-peer digital records. The disclosure describes a peer-to-peer consensus system and method for achieving consensus in tracking transferrable digital objects. The system achieves consensus on a shared ledger between a plurality of peers and prevents double spending in light of network latency, data corruption and intentional manipulation of the system. Consensus is achieved and double spending is prevented via the use of the most committed stake metric to choose a single consensus transaction record. A trustable record is also facilitated by allowing stakeholders to elect a set of trusted non-colluding parties to cooperatively add transactions to the consensus record. The voting mechanism is a real-time auditable stake weighted approval voting mechanism. This voting mechanism has far reaching applications such as vote directed capital and providing a trusted source for data input into a digital consensus system. The system further enables digital assets that track the value of conventional assets with low counterparty risk."
2018-01-30,"User behavior profile in a blockchain. A method, system and computer-usable medium are disclosed for generating a cyber behavior profile, comprising: monitoring user interactions between a user and an information handling system; converting the user interactions and the information about the user into electronic information representing the user interactions; generating a unique cyber behavior profile based upon the electronic information representing the user interactions and the information about the user; and, storing information relating to the unique cyber behavior profile in a behavior blockchain."
2018-01-30,Fragmenting data for the purposes of persistent storage across multiple immutable data structures. Provided is a process including: receiving one or more write requests; selecting a first subset of the values as corresponding to higher-security fields; segmenting a first value in the first subset; instructing a first computing device to store a first subset of segments among the plurality of segments in memory; and instructing a second computing device to store a second subset of segments among the plurality of segments in memory.
